,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Finalist,1251.8169,1006.6797,9,1.7023
1,Pakistan,S8_G2,6,Super 8 stage,964.0717,818.8459,7,1.2967
2,Ireland,A,4,Group stage,534.5279,492.3797,4,0.6586
3,Canada,A,0,Group stage,382.4808,689.8109,4,-4.802
4,United States of America,A,2,Group stage,450.7317,567.5926,4,-1.826
5,England,S8_G2,12,Champion,1259.3588,1102.0184,9,1.0926
6,Australia,S8_G1,12,Semifinalist,1115.9566,947.4538,8,1.3164
7,Namibia,B,4,Group stage,471.1688,537.7042,4,-1.0396
8,Scotland,B,2,Group stage,471.6656,542.6798,4,-1.1096
9,Oman,B,0,Group stage,446.5048,599.8739,4,-2.3964
10,New Zealand,S8_G1,10,Super 8 stage,1039.4597,777.7554,7,2.3366
11,West Indies,S8_G2,10,Semifinalist,1228.7461,970.9105,8,2.0143
12,Afghanistan,C,4,Group stage,584.8346,564.0931,4,0.3241
13,Uganda,C,0,Group stage,417.3593,771.2609,4,-5.5297
14,Papua New Guinea,C,2,Group stage,476.283,637.2596,4,-2.5153
15,South Africa,S8_G2,10,Super 8 stage,962.6581,862.445,7,0.8948
16,Sri Lanka,D,4,Group stage,517.1981,478.1104,4,0.6107
17,Bangladesh,S8_G1,6,Super 8 stage,858.2792,836.47,7,0.1947
18,Netherlands,D,2,Group stage,483.5027,534.6732,4,-0.7995
19,Nepal,D,0,Group stage,435.1615,613.749,4,-2.7904
